                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.39103,                0.29567,                0.89051,                0.99725,                      1,                  0.995,                0.96767,                0.25818,                0.26486,                0.79377,               0.000835,               0.000835,               0.000835
                     51,                0.39448,                 0.3098,                0.87775,                0.99723,                      1,                  0.995,                0.98028,                0.26034,                0.25225,                0.79474,             0.00084833,             0.00084833,             0.00084833
                     52,                0.38684,                0.31166,                0.88429,                0.99694,                      1,                  0.995,                0.98337,                0.26036,                0.24024,                0.79622,             0.00086154,             0.00086154,             0.00086154
                     53,                0.41493,                0.31528,                0.88247,                0.99703,                      1,                  0.995,                0.97882,                0.29092,                0.25443,                  0.799,             0.00087461,             0.00087461,             0.00087461
                     54,                0.41874,                0.32514,                0.89097,                0.99698,                      1,                  0.995,                0.96793,                0.29484,                0.26236,                 0.7987,             0.00088754,             0.00088754,             0.00088754
                     55,                0.40325,                0.30772,                 0.8683,                0.98711,                      1,                  0.995,                0.95011,                0.38991,                0.28086,                0.88232,             0.00090035,             0.00090035,             0.00090035
                     56,                 0.3897,                0.32432,                0.89205,                      1,                0.93996,                0.98818,                0.90648,                0.36918,                0.34818,                0.87236,             0.00091302,             0.00091302,             0.00091302
                     57,                0.40556,                0.31851,                0.87606,                      1,                0.88233,                0.89554,                0.85601,                0.41453,                0.41964,                0.89611,             0.00092557,             0.00092557,             0.00092557
                     58,                 0.4046,                0.32321,                0.87755,                0.98113,                0.84211,                0.86962,                 0.8412,                0.39371,                0.41976,                0.87375,             0.00093798,             0.00093798,             0.00093798
                     59,                0.40627,                 0.3074,                0.87417,                      1,                  0.841,                0.88413,                0.79789,                0.40551,                 0.4583,                0.88043,             0.00095025,             0.00095025,             0.00095025
                     60,                0.42869,                0.33208,                0.89089,                0.97748,                0.84211,                0.90898,                0.82852,                0.41567,                0.46125,                0.84693,              0.0009624,              0.0009624,              0.0009624
                     61,                0.38483,                0.32265,                0.87294,                0.94198,                0.94737,                0.95504,                0.88314,                0.39895,                0.37654,                0.84048,             0.00097441,             0.00097441,             0.00097441
                     62,                0.42179,                0.32344,                0.87301,                0.99097,                0.94737,                0.97068,                0.91792,                0.37262,                0.35883,                0.82802,              0.0009863,              0.0009863,              0.0009863
                     63,                0.33337,                0.27317,                0.84912,                 0.9938,                0.94737,                0.99024,                0.88928,                0.40771,                0.37955,                0.83506,             0.00099805,             0.00099805,             0.00099805
                     64,                0.41509,                0.31372,                0.87141,                0.99907,                0.94737,                  0.983,                0.94289,                 0.3569,                0.35363,                 0.8288,              0.0010097,              0.0010097,              0.0010097
